id,original_text,target_style,styled_text
170,The local market extended its hours during the holiday season after months of planning.,journalistic,The local market reported longer operating hours for the holiday season after months of planning.
54,The hospital added more nurses to improve patient care with support from local partners.,formal,The hospital increased nursing staff in order to improve the quality of patient care with support from relevant local partners.
16,The city introduced new bike lanes to reduce traffic congestion with support from local partners.,poetic,"Through the restless streets new bike lanes bloom and traffic loosens its weary grip, with many steady hands beside it."
43,The hospital added more nurses to improve patient care after months of planning.,poetic,"More caring hands now move through the hospital halls to lift the comfort of each patient, after long months of patient design."
14,The city introduced new bike lanes to reduce traffic congestion in response to public demand.,journalistic,City officials announced the introduction of new bike lanes to help ease traffic congestion in response to public demand.
37,The hospital added more nurses to improve patient care.,poetic,More caring hands now move through the hospital halls to lift the comfort of each patient.
61,The community planted trees near the river to prevent erosion after months of planning.,poetic,"Along the riverbank the community planted young trees to hold the earth in place, after long months of patient design."
124,The farmers adopted modern irrigation systems during the summer with support from local partners.,poetic,"Under the summer sun the farmers welcomed new streams of order through their fields, with many steady hands beside it."
62,The community planted trees near the river to prevent erosion after months of planning.,journalistic,Community members planted trees near the river in an effort to prevent erosion after months of planning.
20,The school opened a new science laboratory for its students.,journalistic,The school has opened a new science laboratory intended to expand hands on learning for students.
66,The community planted trees near the river to prevent erosion to support long term development.,formal,The community undertook a tree planting initiative near the river to reduce soil erosion in support of long term development objectives.
31,The school opened a new science laboratory for its students in response to public demand.,poetic,"A bright new laboratory opened its doors where curious young minds may wander, because many voices had called for change."
150,The museum added evening tours for international visitors as part of a broader improvement effort.,formal,The museum introduced evening tours in order to improve accessibility for international visitors as part of a broader institutional improvement effort.
3,The city introduced new bike lanes to reduce traffic congestion.,formal,The municipality implemented additional cycling lanes with the objective of mitigating traffic congestion.
119,The farmers adopted modern irrigation systems during the summer to support long term development.,journalistic,Farmers adopted modern irrigation systems during the summer to improve water management to support long term development.
128,The company updated its software to fix security issues.,journalistic,The company released a software update designed to address security issues.
120,The farmers adopted modern irrigation systems during the summer to support long term development.,formal,The farmers implemented modern irrigation systems during the summer period to improve resource efficiency in support of long term development objectives.
161,The museum added evening tours for international visitors with support from local partners.,journalistic,Museum officials announced new evening tours for international visitors with support from local partners.
171,The local market extended its hours during the holiday season after months of planning.,formal,The market extended its operating schedule during the holiday period to accommodate consumer demand following an extended planning period.
67,The community planted trees near the river to prevent erosion in response to public demand.,poetic,"Along the riverbank the community planted young trees to hold the earth in place, because many voices had called for change."
96,The government announced new measures to reduce air pollution as part of a broader improvement effort.,formal,The government introduced additional measures intended to mitigate air pollution as part of a broader institutional improvement effort.
175,The local market extended its hours during the holiday season in response to public demand.,poetic,"The market keeps its lanterns glowing longer through the festive winter evenings, because many voices had called for change."
26,The school opened a new science laboratory for its students after months of planning.,journalistic,The school has opened a new science laboratory intended to expand hands on learning for students after months of planning.
95,The government announced new measures to reduce air pollution as part of a broader improvement effort.,journalistic,The government announced a new set of measures aimed at reducing air pollution as part of a broader improvement effort.
122,The farmers adopted modern irrigation systems during the summer in response to public demand.,journalistic,Farmers adopted modern irrigation systems during the summer to improve water management in response to public demand.
145,The museum added evening tours for international visitors.,poetic,The museum now opens deeper into the evening so wandering visitors may gather its stories.
176,The local market extended its hours during the holiday season in response to public demand.,journalistic,The local market reported longer operating hours for the holiday season in response to public demand.
75,The university launched a scholarship program for low income students.,formal,The university introduced a scholarship initiative intended to support students from low income backgrounds.
143,The company updated its software to fix security issues with support from local partners.,journalistic,The company released a software update designed to address security issues with support from local partners.
147,The museum added evening tours for international visitors.,formal,The museum introduced evening tours in order to improve accessibility for international visitors.
15,The city introduced new bike lanes to reduce traffic congestion in response to public demand.,formal,The municipality implemented additional cycling lanes with the objective of mitigating traffic congestion in response to documented public demand.
53,The hospital added more nurses to improve patient care with support from local partners.,journalistic,Hospital administrators said additional nurses were hired to improve patient care with support from local partners.
163,The local market extended its hours during the holiday season.,poetic,The market keeps its lanterns glowing longer through the festive winter evenings.
106,The government announced new measures to reduce air pollution with support from local partners.,poetic,"The city breathes beneath a quieter sky as new measures rise against the smoke, with many steady hands beside it."
45,The hospital added more nurses to improve patient care after months of planning.,formal,The hospital increased nursing staff in order to improve the quality of patient care following an extended planning period.
100,The government announced new measures to reduce air pollution to support long term development.,poetic,"The city breathes beneath a quieter sky as new measures rise against the smoke, to nourish what may endure."
70,The community planted trees near the river to prevent erosion with support from local partners.,poetic,"Along the riverbank the community planted young trees to hold the earth in place, with many steady hands beside it."
81,The university launched a scholarship program for low income students after months of planning.,formal,The university introduced a scholarship initiative intended to support students from low income backgrounds following an extended planning period.
156,The museum added evening tours for international visitors to support long term development.,formal,The museum introduced evening tours in order to improve accessibility for international visitors in support of long term development objectives.
1,The city introduced new bike lanes to reduce traffic congestion.,poetic,Through the restless streets new bike lanes bloom and traffic loosens its weary grip.
117,The farmers adopted modern irrigation systems during the summer after months of planning.,formal,The farmers implemented modern irrigation systems during the summer period to improve resource efficiency following an extended planning period.
17,The city introduced new bike lanes to reduce traffic congestion with support from local partners.,journalistic,City officials announced the introduction of new bike lanes to help ease traffic congestion with support from local partners.
